Customer ID,Age,Buying Price(S),Gender,,
1612199,22,7.25,Male,,
1612227,38,71.2833,,,
1612211,26,7.925,Female,,
1612198,35,53.1,,,
1612204,35,8.05,Male,,
1612211,,8.4583,Male,,
1612222,54,51.8625,Male,,
1612211,2,21.075,Male,,
1612208,27,11.1333,Female,,
1612212,14,30.0708,Female,,
1612212,4,16.7,Female,,
1612230,58,26.55,Male,,
1612197,20,8.05,Female,,
1612220,39,31.275,Female,,
1612223,14,7.8542,Male,,
1612230,55,16,,,
1612212,2,29.125,,,
1612199,,13,Female,,
1612214,31,18,Male,,
1612217,,7.225,Female,,
1612223,35,26,Male,,
1612227,34,13,,,
1612220,15,8.0292,Male,,
1612219,28,35.5,,,
1612208,8,21.075,Male,,
1612223,38,31.3875,Male,,
1612216,,7.225,Female,,
1612209,19,263,Female,,
1612211,,7.8792,Female,,
1612196,,7.8958,Male,,
1612204,40,27.7208,Male,,
1612205,,146.5208,Female,,
1612227,,7.75,,,
1612208,66,10.5,,,
1612206,28,82.1708,,,
1612211,42,52,,,
1612213,,7.2292,,,
1612196,21,8.05,,,
1612227,18,18,,,
1612199,14,11.2417,,,
1612213,40,,,,
1612202,27,21,Female,,
1612198,,7.8958,Female,,
1612217,3,41.5792,Female,,
1612216,19,7.8792,Female,,
1612204,,8.05,Male,,
1612211,,15.5,Male,,
1612221,,7.75,Male,,
1612225,,21.6792,Male,,
1612211,18,17.8,Male,,
1612207,7,39.6875,Male,,
1612220,21,7.8,Male,,
1612216,49,76.7292,Male,,
1612224,29,26,Male,,
1612214,65,61.9792,Male,,
1612205,,35.5,Male,,
1612205,21,10.5,Male,,
1612220,28.5,7.2292,Male,,
1612205,5,27.75,Male,,
1612195,11,46.9,Male,,
1612225,22,7.2292,Male,,
1612212,38,80,Male,,
1612220,45,83.475,Male,,
1612221,4,27.9,Male,,
1612229,,27.7208,Male,,
1612201,,15.2458,Male,,
1612217,29,10.5,Male,,
1612199,19,8.1583,Male,,
1612221,17,7.925,Male,,
1612202,26,8.6625,Male,,
1612230,32,10.5,Male,,
1612215,16,46.9,Male,,
1612230,21,73.5,Male,,
1612214,26,14.4542,Male,,
1612214,32,56.4958,Male,,
1612228,25,7.65,Male,,
1612210,,7.8958,Male,,
1612229,,8.05,Male,,
1612207,0.83,29,Male,,
1612206,30,12.475,Male,,
1612224,22,9,Male,,
1612227,29,9.5,Male,,
1612195,,,Male,,
1612204,28,47.1,Male,,
1612220,17,10.5,Male,,
1612195,33,15.85,Male,,
1612206,16,34.375,Male,,
1612211,,8.05,Male,,
1612225,23,263,Male,,
1612208,24,8.05,Male,,
1612218,29,8.05,Male,,
1612220,20,7.8542,Male,,
1612217,46,61.175,Male,,
1612199,26,20.575,Male,,
1612227,59,7.25,Male,,
1612212,,8.05,Male,,
1612211,71,34.6542,Male,,
1612224,23,63.3583,Male,,
1612197,34,,Male,,
1612204,34,26,Male,,
1612207,28,7.8958,Male,,
1612213,,7.8958,Male,,
1612210,21,77.2875,Male,,
1612228,33,8.6542,Male,,
1612207,37,7.925,Male,,
1612219,28,7.8958,Male,,
1612203,21,7.65,Male,,
1612196,,7.775,Male,,
1612201,38,7.8958,Male,,
1612229,,24.15,Male,,
1612221,47,52,Male,,
1612230,14.5,14.4542,Male,,
1612226,22,8.05,Male,,
1612206,20,9.825,Male,,
1612220,17,14.4583,Male,,
1612228,21,7.925,Male,,
1612220,70.5,7.75,Male,,
1612213,29,21,Male,,
1612206,24,247.5208,Male,,
1612223,2,31.275,Male,,
1612202,21,73.5,Male,,
1612209,,8.05,Male,,
1612212,32.5,30.0708,Male,,
1612201,32.5,13,Male,,
1612216,54,77.2875,Male,,
1612213,12,11.2417,Male,,
1612208,,7.75,Male,,
1612205,24,7.1417,Male,,
1612225,,22.3583,Male,,
1612216,45,6.975,Male,,
1612216,33,7.8958,Male,,
1612227,20,7.05,Male,,
1612214,47,14.5,Male,,
1612211,29,,Male,,
1612217,25,13,Male,,
1612209,23,15.0458,Male,,
1612206,19,26.2833,Male,,
1612217,37,53.1,Male,,
1612205,16,9.2167,Male,,
1612216,24,79.2,Male,,
1612201,,15.2458,Male,,
1612205,22,7.75,Male,,
1612223,24,15.85,Male,,
1612198,19,6.75,Male,,
1612217,18,11.5,Male,,
1612229,19,36.75,Male,,
1612212,27,7.7958,Male,,
1612219,9,34.375,Male,,
1612227,36.5,26,Male,,
1612218,42,13,Male,,
1612221,51,12.525,Male,,
1612221,22,66.6,Male,,
1612201,55.5,8.05,Male,,
1612200,40.5,14.5,Male,,
1612202,,7.3125,Male,,
1612219,51,61.3792,Male,,
1612199,16,7.7333,Male,,
1612201,30,8.05,Male,,
1612214,,8.6625,Male,,
1612209,,69.55,Male,,
1612210,44,16.1,Male,,
1612207,40,15.75,Male,,
1612198,26,,Male,,
1612217,17,8.6625,Male,,
1612204,1,39.6875,Male,,
1612208,9,20.525,Male,,
1612216,,55,Male,,
1612213,45,27.9,Male,,
1612230,,25.925,Male,,
1612216,28,56.4958,Male,,
1612201,61,33.5,Male,,
1612222,4,29.125,Male,,
1612215,1,11.1333,Male,,
1612204,21,7.925,Male,,
1612230,56,30.6958,Male,,
1612221,18,7.8542,Male,,
1612225,,25.4667,Male,,
1612230,50,28.7125,Male,,
1612204,30,13,Male,,
1612209,36,0,Male,,
1612211,,69.55,Male,,
1612224,,15.05,Male,,
1612216,9,31.3875,Male,,
1612199,1,39,Male,,
1612214,4,22.025,Male,,
1612214,,50,Male,,
1612196,,15.5,Male,,
1612206,45,26.55,Male,,
1612212,40,15.5,Male,,
1612220,36,7.8958,Male,,
1612219,32,13,Male,,
1612195,19,13,Male,,
1612215,19,7.8542,Male,,
1612225,3,26,Male,,
1612223,44,,Male,,
1612216,58,146.5208,Male,,
1612205,,7.75,Male,,
1612208,42,8.4042,Male,,
1612211,,7.75,Male,,
1612203,24,13,Male,,
1612211,28,9.5,Male,,
1612224,,69.55,Male,,
1612223,34,6.4958,Male,,
1612216,45.5,7.225,Male,,
1612216,18,8.05,Male,,
1612207,2,10.4625,Male,,
1612214,32,15.85,Male,,
